                            AGE19               PIB16            Hispanic              White               Black              AIndian
nbr.na          0.00000000000000    0.00000000000000      0.0000000000000    0.00000000000000
min             0.00000000000000    0.00000000000000      1.0000000000000    0.00000000000000
max             1.00000000000000    1.00000000000000     16.0000000000000    1.00000000000000
range           1.00000000000000    1.00000000000000     15.0000000000000    1.00000000000000
sum          1446.00000000000000 6974.00000000000000 106211.0000000000000 1028.00000000000000
median          0.00000000000000    1.00000000000000     13.0000000000000    0.00000000000000
mean            0.16959887403237    0.81796856673704     12.4573070607553    0.12057236687779
SE.mean         0.00406451053146    0.00417921109124      0.0335148170174    0.00352676687647
CI.mean.0.95    0.00796742545494    0.00819226634356      0.0656971618491    0.00691331759821
var             0.14085161620518    0.14891345637254      9.5767694745003    0.10604710930788
std.dev         0.37530203330809    0.38589306339003      3.0946355963991    0.32564875142993
coef.var        2.21288045365473    0.47177003992879      0.2484193077449    2.70085725164555
